Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Khanna	Rohit		O	CA17	2017	8/10/2018	9113638
Hon.	Khanna	Rohit		P	CA17	2017	2/13/2017	9110456
Hon.	Khanna	Rohit		P	CA17	2017	3/14/2017	9110547
Hon.	Khanna	Rohit		P	CA17	2017	4/13/2017	9110644
Hon.	Khanna	Rohit		P	CA17	2017	5/11/2017	9110730
Hon.	Khanna	Rohit		P	CA17	2017	6/12/2017	9111257
Hon.	Khanna	Rohit		P	CA17	2017	7/12/2017	9111397
Hon.	Khanna	Rohit		P	CA17	2017	8/10/2017	9111583
Hon.	Khanna	Rohit		P	CA17	2017	9/8/2017	9111740
Hon.	Khanna	Rohit		P	CA17	2017	9/19/2017	9111812
Hon.	Khanna	Rohit		P	CA17	2017	10/10/2017	9111874
Hon.	Khanna	Rohit		P	CA17	2017	11/9/2017	9112020
Hon.	Khanna	Rohit		P	CA17	2017	12/12/2017	9112175
Hon.	Khanna	Rohit		P	CA17	2017	1/10/2018	9112254
Hon.	Khanna	Rohit		X	CA17	2017	5/10/2018	9112786
