bioguide_id,name,state_district,on_hasc,is_subject
L000579,Alan S. Lowenthal,CA47,False,False
W000812,Ann Wagner,MO02,False,False
F000461,Bill Flores,TX17,False,False
H001058,Bill Huizenga,MI04,False,False
G000563,Bob Gibbs,OH07,False,False
M001199,Brian Mast,FL21,False,False
F000459,"Charles J. ""Chuck"" Fleischmann",TN03,False,False
C001120,Dan Crenshaw,TX02,False,False
R000582,David P. Roe,TN01,False,False
D000624,Debbie Dingell,MI12,False,False
H001086,Diana Harshbarger,TN01,False,False
B001273,Diane Black,TN06,False,False
L000564,Doug Lamborn,CO05,True,False
B000574,Earl Blumenauer,OR03,False,False
G000584,Greg Gianforte,MT00,False,False
R000395,Harold Dallas Rogers,KY05,False,False
R000586,James B. Renacci,OH16,False,False
L000559,James R. Langevin,RI02,False,False
P000598,Jared Polis,CO02,False,False
L000557,John B. Larson,CT01,False,False
D000620,John K. Delaney,MD06,False,False
G000583,Josh Gottheimer,NJ05,False,False
C001062,K. Michael Conaway,TX11,True,False
C001101,Katherine M. Clark,MA05,False,False
M001158,Kenny Marchant,TX24,False,False
H001082,Kevin Hern,OK01,False,False
S001180,Kurt Schrader,OR05,False,False
S000583,Lamar Smith,TX21,False,False
D000399,Lloyd Doggett,TX35,False,False
F000462,Lois Frankel,FL21,False,False
G000596,Marjorie Taylor Greene,GA14,False,False
G000590,Mark Green,TN07,True,False
M001157,Michael T. McCaul,TX10,False,False
K000376,Mike Kelly,PA03,False,False
B001274,Mo Brooks,AL05,True,False
P000197,Nancy Pelosi,CA11,False,False
F000246,Pat Fallon,TX04,True,False
S000250,Pete Sessions,TX32,False,False
W000800,Peter Welch,VT00,False,False
F000372,Rodney P. Frelinghuysen,NJ11,False,False
K000389,Rohit Khanna,CA17,True,True
P000608,Scott H. Peters,CA52,False,False
C001068,Steve Cohen,TN09,False,False
D000617,Suzan K. DelBene,WA01,False,False
B001260,Vern Buchanan,FL16,False,False
F000450,Virginia Foxx,NC05,False,False
