tax_year,sector,total_fmv_usd
2024,financial,2378235.0
2024,semis/AI,1667345.0
2024,defense/energy,1281249.0
2024,big_tech,781156.0
2024,semis,353960.0
2024,energy,153937.0
2024,pharma,153937.0
2024,tech,78783.0
2024,consumer,26942.0
2023,consumer,2478066.0
2023,big_tech,989887.0
2023,semis/AI,865222.0
2023,defense_prime,824026.0
2023,semis,454591.0
2023,other,424532.0
2023,financial,79284.0
2023,pharma,18294.0
2022,other,5556007.0
2022,financial,438357.0
2022,semis/AI,365949.0
2022,pharma,101073.0
2022,big_tech,66885.0
2022,defense_prime,38264.0
2021,other,15069253.0
2021,big_tech,7170330.0
2021,semis/AI,1733619.0
2021,pharma,1448414.0
2020,big_tech,1548850.0
2020,financial,1548850.0
2019,other,3165694.0
2018,big_tech,1621824.0
2017,other,3528662.0
2017,big_tech,1764331.0
2017,defense_prime,1764331.0
